game_id,play_id,absolute_yardline_number,possession_team,defensive_team,team_coverage_type,pass_result,LOS,players,ball_field_zone,attack_plan,LSHC,RSHC,LSSHC,RSSHC,LF,RF,SM,MH,RO,LO,LDO,RDO,DM
2023090700,101,42,DET,KC,COVER_2_ZONE,I,42,9,Right Deep Out,"Left SHC, Right Flat",1,0,0,0,0,1,0,0,0,0,0,0,0
2023090700,194,89,KC,DET,COVER_1_MAN,C,31,13,Shallow Middle,"Left SHC, Right Out, Right SHC, Right Shallow SHC",1,1,0,1,0,0,0,0,1,0,0,0,0
2023090700,219,79,KC,DET,COVER_4_ZONE,C,41,13,Left Flat,"Behind LOS, Left SHC, Middle Hook, Right Out",1,0,0,0,0,0,0,1,1,0,0,0,0
2023090700,361,22,DET,KC,COVER_4_ZONE,C,22,11,Left Flat,"Left Out, Right Deep Out, Right Flat",0,0,0,0,0,1,0,0,0,1,0,1,0
2023090700,436,31,DET,KC,COVER_1_MAN,C,31,11,Left Shallow SHC,"Left SHC, Right Out, Right Shallow SHC",1,0,0,1,0,0,0,0,1,0,0,0,0
2023090700,461,44,DET,KC,COVER_6_ZONE,C,44,13,Right SHC,"Behind LOS, Behind LOS, Behind LOS, Middle Hook",0,0,0,0,0,0,0,1,0,0,0,0,0
2023090700,530,86,DET,KC,COVER_2_ZONE,C,86,13,Right Shallow SHC,"Behind LOS, Left Flat, Left Flat, Right Out",0,0,0,0,1,0,0,0,1,0,0,0,0
2023090700,621,101,DET,KC,COVER_1_MAN,C,101,13,Right Shallow SHC,"Left SHC, Right Flat, Right SHC, Shallow Middle",1,1,0,0,0,1,1,0,0,0,0,0,0
2023090700,713,83,KC,DET,COVER_4_ZONE,I,37,13,Left Flat,"Behind LOS, Left Out, Right Out, Right Shallow SHC",0,0,0,1,0,0,0,0,1,1,0,0,0
2023090700,736,83,KC,DET,COVER_1_MAN,C,37,12,Right SHC,"Behind LOS, Left SHC, Right Flat, Right Out",1,0,0,0,0,1,0,0,1,0,0,0,0
2023090700,877,71,KC,DET,COVER_3_ZONE,C,71,10,Right SHC,"Behind LOS, Right Deep Out",0,0,0,0,0,0,0,0,0,0,0,1,0
2023090700,902,85,KC,DET,COVER_1_MAN,I,85,13,Shallow Middle,"Left Flat, Left Flat, Left Shallow SHC, Right Flat",0,0,1,0,1,1,0,0,0,0,0,0,0
